Taxa	Variant_Category	Variant_Pattern	Radlkofer_section	Last_classification	This_study
Serjania_nutans	Procambial	Compound	Oococcus	Serjania	Serjania II
Serjania_orbicularis	Typical	Typical	Syncoccus	Serjania	Serjania I
Serjania_ovalifolia	Procambial	Compound	Simococcus	Serjania	Serjania III
Serjania_oxyphylla	Typical	Typical	Physococcus	Physococcus	Serjania I
Serjania_paniculata	Procambial	Compound	Dictyococcus	Serjania	Serjania III
Serjania_paradoxa	Procambial+Ectopic-cambia	Divided+Ectopic-cambia	Eurycoccus	Eurycoccus	Serjania V
Serjania_paucidentata_a	Procambial	Compound	Oococcus	Serjania	Serjania I
Serjania_pedicellaris	Typical	Typical	Eurycoccus	Eurycoccus	Serjania V
Serjania_perulacea	Procambial+Ectopic-cambia	Compound+Ectopic-cambia	Oococcus	Serjania	Serjania I
Serjania_piscatoria	Procambial+Cambial+Ectopic-cambia	Compound+Fissured+Ectopic-cambia	Eucoccus	Serjania	Serjania II
Serjania_platycarpa_a	Typical	Typical	Eurycoccus	Eurycoccus	Serjania VII
Serjania_polystachya	Typical	Typical	Physococcus	Physococcus	Serjania III
Serjania_psilophylla	Typical	Typical	Physococcus	Physococcus	Serjania I
Serjania_pterarthra	Typical	Typical	Unplaced	NA	Serjania I
Serjania_purpurascens	Procambial	Compound	Syncoccus	Serjania	Serjania II
Serjania_pyramidata_a	Procambial+Cambial+Ectopic-cambia	Compound+Phloem-wedges+Ectopic-cambia	Eucoccus	Serjania	Serjania II
Serjania_racemosa	Cambial	Phloem-wedges	Physococcus	Physococcus	Serjania III
Serjania_rhombea	Procambial	Compound	Syncoccus	Serjania	Serjania III
Serjania_rigida	Procambial	Compound	Physococcus	Physococcus	Serjania I
Serjania_rubicaulis	Cambial	Phloem-wedges	Phacococcus	Serjania	Serjania I
Serjania_rufa_a	Procambial	Compound	Syncoccus	Serjania	Serjania III
Serjania_rufisepala	Typical	Typical	Physococcus	Physococcus	Serjania I
Serjania_salzmanniana	Cambial	Phloem-wedges	Eurycoccus	Eurycoccus	Serjania V
Serjania_scopulifera	Procambial+Cambial	Compound+Phloem-wedges	Oococcus	Serjania	Serjania I
Serjania_seemannii	Procambial	Compound	Eucoccus	Serjania	Serjania I
Serjania_seriana_a	Procambial	Compound	Unplaced	NA	Serjania III
Serjania_serjanioides	Typical	Typical	Unplaced	NA	Serjania III
Serjania_sphaerococca_a	Procambial	Compound	Eucoccus	Serjania	Serjania I
Serjania_striata	Typical	Typical	Physococcus	Physococcus	Serjania I
Serjania_subimpunctata	Cambial	Phloem-wedges	Eurycoccus	Eurycoccus	Serjania V
Serjania_subrotundifolia	Procambial	Compound	Simococcus	Serjania	Serjania II
Serjania_sufferruginea	Procambial	Compound	Physococcus	Physococcus	Serjania IV
Serjania_tailloniana	Procambial	Compound	Unplaced	NA	Serjania III
Serjania_tenuifolia	Procambial	Compound	Simococcus	Serjania	Serjania II
Serjania_tenuis	Procambial	Compound	Platycoccus	Platycoccus	Serjania VI
Serjania_trachygona	Procambial	Compound	Unplaced	NA	Serjania III
Serjania_tripleuria	Procambial	Compound	Unplaced	Unplaced	Serjania I
Serjania_triquetra	Procambial	Compound	Physococcus	Physococcus	Serjania III
Serjania_tristis	Cambial	Phloem-wedges	Syncoccus	Serjania	Serjania I
Serjania_unidentata	Procambial	Compound	Unplaced	Platycoccus	Serjania VI
Serjania_yucatanensis	Procambial	Compound	Unplaced	Unplaced	Serjania III
Thinouia_compressa_a	Typical	Typical	Petalodine	Petalodine	Thinouia
Thinouia_mucronata_a	Ectopic-cambia	Ectopic-cambia	Petalodine	Petalodine	Thinouia
Thinouia_myriantha_a	Typical	Typical	Lepidodine	Lepidodine	Thinouia
Thinouia_paraguaiensis_a	Typical	Typical	Unplaced	Unplaced	Thinouia
Thinouia_scandens	Ectopic-cambia	Ectopic-cambia	Petalodine	Petalodine	Thinouia
Thinouia_silveirae	Typical	Typical	Unplaced	Unplaced	Thinouia
Thinouia_trifoliolata_a	Typical	Typical	Unplaced	Unplaced	Thinouia
Thinouia_ventricosa_a	Ectopic-cambia	Ectopic-cambia	Petalodine	Petalodine	Thinouia
Thouinia_acuminata	Typical	Typical	NA	NA	NA
Thouinia_trifoliata	Typical	Typical	NA	NA	NA
Urvillea_andersonii	Cambial	Lobed	Unplaced	Stenelytron	Urvillea II
Urvillea_chacoensis_a	Cambial	Lobed	Unplaced	Urvillea	Urvillea I
Urvillea_filipes	Ectopic-cambia	Ectopic-cambia	Physelytron	Urvillea	Urvillea I
Urvillea_glabra	Cambial	Lobed	Physelytron	Urvillea	Urvillea I
Urvillea_intermedia	Typical	Typical	Physelytron	Urvillea	Urvillea I
Urvillea_laevis_a	Cambial	Fissured	Stenelytron	Stenelytron	Urvillea II
Urvillea_oliveirae	Typical	Typical	Unplaced	Urvillea	Urvillea I
Urvillea_stipitata	Cambial	Lobed+Phloem-wedges	Stenelytron	Stenelytron	Urvillea II
Urvillea_ulmacea_a	Cambial	Lobed	Physelytron	Urvillea	Urvillea I
Urvillea_uniloba_a	Cambial	Lobed+Phloem-wedges	Physelytron	Urvillea	Urvillea I
