Taxa	Variant_Category	Variant_Pattern	Habit	Tendrils	Radlkofer_section	Last_classification	This_study
Serjania_ampelopsis	Typical	Typical	Liana	Present	Platycoccus	Platycoccus	Serjania VI
Serjania_atrolineata_a	Procambial	Compound	Liana	Present	Dictyococcus	Serjania	Serjania III
Serjania_bahiana	Typical	Typical	Liana	Present	Unplaced	Unplaced	Serjania I
Serjania_biternata	Typical	Typical	Liana	Present	Unplaced	Unplaced	Serjania I
Serjania_brachycarpa	Typical	Typical	Liana	Present	Phacococcus	Serjania	Serjania III
Serjania_calligera	Typical	Typical	Liana	Present	Ceratococcus	Ceratococcus	Serjania IV
Serjania_caracasana	Procambial+Ectopic-cambia	Compound+Ectopic-cambia	Liana	Present	Eucoccus	Serjania	Serjania I
Serjania_cardiospermoides	Procambial	Compound	Liana	Present	Platycoccus	Platycoccus	Serjania VI
Serjania_clematidifolia	Procambial	Compound	Liana	Present	Simococcus	Serjania	Serjania II
Serjania_columbiana	Procambial	Compound	Liana	Present	Syncoccus	Serjania	Serjania III
Serjania_communis_a	Procambial	Compound	Liana	Present	Platycoccus	Platycoccus	Serjania VI
Serjania_confertiflora_a	Procambial	Compound	Liana	Present	Platycoccus	Confertiflora	Serjania II
Serjania_coradinii	Typical	Typical	Liana	Present	Unplaced	Unplaced	Serjania V
Serjania_cornigera_a	Cambial	Phloem-wedges	Liana	Present	Ceratococcus	Ceratococcus	Serjania III
Serjania_corrugata_a	Procambial+Ectopic-cambia	Divided+Ectopic-cambia	Liana	Present	Eurycoccus	Eurycoccus	Serjania V
Serjania_crassifolia	Procambial	Compound	Liana	Present	Simococcus	Serjania	Serjania II
Serjania_diffusa	Procambial	Compound	Liana	Present	Syncoccus	Serjania	Serjania IV
Serjania_dumicola	Procambial	Compound	Liana	Present	Platycoccus	Platycoccus	Serjania VI
Serjania_dura	Cambial	Typical	Liana	Present	Eurycoccus	Eurycoccus	Serjania V
Serjania_emarginata	Typical	Typical	Liana	Present	Physococcus	Physococcus	Serjania III
Serjania_eriocarpa_a	Typical	Typical	Liana	Present	Syncoccus	Serjania	Serjania VII
Serjania_erythrocaulis	Procambial	Divided	Liana	Present	Unplaced	Unplaced	Serjania V
Serjania_faveolata	Ectopic-cambia	Ectopic-cambia	Liana	Present	Eucoccus	Serjania	Serjania V
Serjania_ferruginea	Procambial	Compound	Liana	Present	Platycoccus	Platycoccus	Serjania VI
Serjania_flaviflora	Typical	Typical	Liana	Present	Physococcus	Physococcus	Serjania III
Serjania_fluminensis_a	Procambial	Compound	Liana	Present	Unplaced	Unplaced	Serjania II
Serjania_foveata	Typical	Typical	Liana	Present	Platycoccus	Platycoccus	Serjania I
Serjania_fuscifolia	Procambial	Compound	Liana	Present	Simococcus	Serjania	Serjania II
Serjania_glutinosa	Typical	Typical	Liana	Present	Eurycoccus	Unplaced	Serjania V
Serjania_grammatophora	Typical	Typical	Liana	Present	Phacococcus	Serjania	Serjania I
Serjania_hatschbachii	Procambial	Compound	Liana	Present	Unplaced	Platycoccus	Serjania VI
Serjania_impressa	Procambial	Compound	Liana	Present	Syncoccus	Serjania	Serjania II
Serjania_inebrians	Procambial	Compound	Liana	Present	NA	NA	Serjania III
Serjania_inflata	Procambial	Compound	Liana	Present	Physococcus	Physococcus	Serjania I
Serjania_inscripta	Procambial	Compound	Liana	Present	Platycoccus	Confertiflora	Serjania II
Serjania_insignis	Procambial	Compound	Liana	Present	Syncoccus	Serjania	Serjania III
Serjania_lancistipula	Procambial	Divided	Liana	Present	Unplaced	Unplaced	Serjania V
Serjania_laruotteana	Procambial	Compound	Liana	Present	Eucoccus	Platycoccus	Serjania I
Serjania_lateritia	Typical	Typical	Liana	Present	Eurycoccus	Eurycoccus	Serjania III
Serjania_laxiflora	Typical	Typical	Liana	Present	Eurycoccus	Eurycoccus	Serjania V
Serjania_leptocarpa	Procambial	Compound	Liana	Present	Platycoccus	Platycoccus	Serjania VI
Serjania_longistipula	Procambial	Compound	Liana	Present	Physococcus	Physococcus	Serjania IV
Serjania_mansiana_a	Typical	Typical	Liana	Present	Syncoccus	Serjania	Serjania VII
Serjania_marginata_a	Procambial	Compound	Liana	Present	Eucoccus	Serjania	Serjania I
Serjania_membranacea	Typical	Typical	Liana	Present	Holcococcus	Serjania	Serjania III
Serjania_meridionalis_a	Ectopic-cambia	Ectopic-cambia	Liana	Present	Syncoccus	Serjania	Serjania I
Serjania_mexicana_a	Cambial+Ectopic-cambia	Phloem-wedges+Ectopic-cambia	Liana	Present	Phacococcus	Serjania	Serjania I
Serjania_mollis_a	Procambial	Compound	Liana	Present	Ceratococcus	Ceratococcus	Serjania III
